fid,gid,nazwa,ostatnia_e,kraj,typ,rodzaj_eru,materiał,tektonika,legenda,źródło,x,y
"590","110",Mashkovtsev,brak danych,Rosja,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","157","51"
"591","241",Sarigan,brak danych,Stany Zjednoczone,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","146","17"
"592","271",Ruruidake [Smirnov],brak danych,Japonia,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","146","44"
"593","273",Berutarubesan [Berutarube],brak danych,Japonia,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","147","44"
"594","276",Nishihitokappuyama [Bogatyr Ridge],brak danych,Japonia,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","147","45"
"595","284",Rakkibetsudake [Demon],brak danych,Japonia,stratowulkan,nieznana data wybuchu,"-",strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","149","46"
"596","294",Uratman,brak danych,Rosja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","152","47"
"597","307",Shirinki,brak danych,Rosja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","155","50"
"598","318",Kell,brak danych,Rosja,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","157","52"
"599","478",Herbert,brak danych,Stany Zjednoczone,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-170","53"
"600","361",Muhavura,brak danych,Uganda - Rwanda,stratowulkan,nieznana data wybuchu,tefryt / trachybazalt,strefa ryftowa / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","30","-1"
"601","27",Hasan Dagi,brak danych,Turcja,stratowulkan,nieznana data wybuchu,dacyt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","34","38"
"602","376","Tousside, Tarso",brak danych,Czad,stratowulkan,nieznana data wybuchu,trachit,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","16","21"
"603","1205","Casiri, Nevados",brak danych,Peru,stratowulkan,nieznana data wybuchu,trachit,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-70","-17"
"604","401",Sahand,brak danych,Iran,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","46","38"
"605","402",Sabalan,brak danych,Iran,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","48","38"
"606","406",Taftan,brak danych,Iran,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","61","29"
"607","543",Penanggungan,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","113","-8"
"608","597",Blup Blup,brak danych,Papua - Nowa Gwinea,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","145","-4"
"609","610",Garove,brak danych,Papua - Nowa Gwinea,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","150","-5"
"610","612",Bola,brak danych,Papua - Nowa Gwinea,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","150","-5"
"611","627",Visokiy,brak danych,Rosja,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","158","52"
"612","630",Hydrographers Range,brak danych,Papua - Nowa Gwinea,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","148","-9"
"613","693",Jailolo,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","127","1"
"614","694",Hiri,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","127","1"
"615","696",Tidore,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","127","1"
"616","697",Mare,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","127","1"
"617","698",Moti,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","127","0"
"618","700",Tigalalu,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","127","0"
"619","701",Amasing,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","127","-1"
"620","352",Fort Portal,2120 p.n.e.,Uganda,stożkowy,erupcja datowana,foidyt,strefa ryftowa / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","30","1"
"621","702",Bibinoi,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","128","-1"
"622","713",Malindang,brak danych,Filipiny,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","124","8"
"623","725",Masaraga,brak danych,Filipiny,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","124","13"
"624","726",Iriga,brak danych,Filipiny,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","123","13"
"625","728",Malindig,brak danych,Filipiny,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","122","13"
"626","762",Udina,brak danych,Rosja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","161","56"
"627","763",Zimina,brak danych,Rosja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","161","56"
"628","765",Kamen,brak danych,Rosja,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","161","56"
"629","813",Balbi,brak danych,Papua - Nowa Gwinea,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / grubość skorupy nieznana,Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","155","-6"
"630","829",Mere Lava,brak danych,Vanuatu,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","168","-14"
"631","836",North Vate,brak danych,Vanuatu,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","168","-17"
"632","844",Narcondum,brak danych,Indie,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","94","13"
"633","855",Malintang,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","100","0"
"634","874",Pulosari,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","106","-6"
"635","879",Patuha,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","107","-7"
"636","882",Kendang,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","108","-7"
"637","884",Tampomas,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","108","-7"
"638","892",Ungaran,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,trachyandezyt / bazaltowy trachyandezyt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","110","-7"
"639","893",Telomoyo,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","110","-7"
"640","898",Wilis,brak danych,Indonezja,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","112","-8"
"641","901",Steller,brak danych,Stany Zjednoczone,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-154","58"
"642","905",Douglas,brak danych,Stany Zjednoczone,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-154","59"
"643","1004",Colachi,brak danych,Chile,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-68","-23"
"644","1006",Acamarachi,brak danych,Chile,stratowulkan,nieznana data wybuchu,dacyt,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-68","-23"
"645","1014",Cordon de Puntas Negras,brak danych,Chile,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-68","-24"
"646","1021",St. Catherine,brak danych,Grenada,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-62","12"
"647","1043",Tungnafellsjokull,brak danych,Islandia,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa ryftowa / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-18","65"
"648","1056",Corvo,brak danych,Portugalia,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-31","40"
"649","1076",Brava,brak danych,Wyspy Zielonego Przylądka,stratowulkan,nieznana data wybuchu,foidyt,strefa subdukcji / skorupa pośrednia (15-25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-25","15"
"650","1078",Ascension,brak danych,Wielka Brytania,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa ryftowa / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-14","-8"
"651","1110",Hodson,brak danych,Wielka Brytania,stratowulkan,nieznana data wybuchu,bazalt / pikryt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-27","-57"
"652","1132",Tenorio,brak danych,Kostaryka,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-85","11"
"653","1134",Platanar,brak danych,Kostaryka,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-84","10"
"654","1149",Sotara,brak danych,Kolumbia,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-77","2"
"655","1170",Illiniza,brak danych,Ekwador,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-79","-1"
"656","1192",Sara Sara,brak danych,Peru,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-73","-15"
"657","1193",Coropuna,brak danych,Peru,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-73","-16"
"658","1212",Tata Sabaya,brak danych,Boliwia,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-69","-19"
"659","1221",Sairecabur,brak danych,Chile - Boliwia,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-68","-23"
"660","587",Tutuila,"440",Stany Zjednoczone,stożkowy,erupcja datowana,bazalt / pikryt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-171","-14"
"661","1222",Licancabur,brak danych,Chile - Boliwia,stratowulkan,nieznana data wybuchu,andezyt / andezyt bazaltowy,strefa subdukcji / skorupa kontynentalna (>25 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-68","-23"
"662","1231",Mehetia,brak danych,Francja,stratowulkan,nieznana data wybuchu,tefryt / trachybazalt,strefa subdukcji / skorupa oceaniczna (< 15 km),Wulkan,"Global Volcanism Program, 2013. Volcanoes of the World, v. 4.11.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 20 Jun 2022. https://doi.org/10.5479/si.GVP.VOTW4-2013","-148","-18"
